source	target
hsa_circ_0026134	hsa-miR-107
hsa-miR-107	KIFC2
hsa_circ_0000128	hsa-miR-107
hsa_circ_0038095	hsa-miR-107
hsa_circ_0002319	hsa-miR-107
hsa_circ_0000044	hsa-miR-107
hsa_circ_0002315	hsa-miR-107
hsa_circ_0008323	hsa-miR-107
hsa_circ_0003695	hsa-miR-107
hsa_circ_0000211	hsa-miR-107
hsa_circ_0003956	hsa-miR-107
hsa_circ_0017628	hsa-miR-107
hsa_circ_0000676	hsa-miR-107
hsa_circ_0035301	hsa-miR-107
hsa_circ_0023115	hsa-miR-107
hsa_circ_0006913	hsa-miR-107
hsa_circ_0045890	hsa-miR-107
hsa_circ_0006732	hsa-miR-107
hsa_circ_0017726	hsa-miR-107
hsa_circ_0067717	hsa-miR-107
hsa_circ_0004703	hsa-miR-107
hsa_circ_0001655	hsa-miR-107
hsa_circ_0000357	hsa-miR-107
hsa_circ_0063408	hsa-miR-193b-3p
hsa-miR-193b-3p	SEC31B
hsa_circ_0006758	hsa-miR-193b-3p
hsa_circ_0008323	hsa-miR-193b-3p
hsa_circ_0086684	hsa-miR-193b-3p
hsa_circ_0000204	hsa-miR-193b-3p
hsa_circ_0052767	hsa-miR-23b-3p
hsa-miR-23b-3p	KIFC2
hsa-miR-23b-3p	SEC31B
hsa_circ_0008584	hsa-miR-23b-3p
hsa_circ_0015928	hsa-miR-23b-3p
hsa_circ_0039930	hsa-miR-23b-3p
hsa_circ_0086684	hsa-miR-23b-3p
hsa_circ_0001190	hsa-miR-23b-3p
hsa_circ_0000442	hsa-miR-26a-5p
hsa-miR-26a-5p	SEC31B
hsa_circ_0052767	hsa-miR-26a-5p
hsa_circ_0008323	hsa-miR-26a-5p
hsa_circ_0086684	hsa-miR-27b-3p
hsa-miR-27b-3p	SEC31B
hsa_circ_0005479	hsa-miR-27b-3p
hsa_circ_0000735	hsa-miR-27b-3p
hsa_circ_0002157	hsa-miR-27b-3p
hsa_circ_0072904	hsa-miR-27b-3p
hsa_circ_0008584	hsa-miR-27b-3p
hsa_circ_0035301	hsa-miR-27b-3p
hsa_circ_0000442	hsa-miR-27b-3p
hsa_circ_0008068	hsa-miR-29a-3p
hsa-miR-29a-3p	KIFC2
hsa_circ_0071374	hsa-miR-29a-3p
hsa_circ_0000357	hsa-miR-29a-3p
hsa_circ_0000647	hsa-miR-29a-3p
hsa_circ_0071649	hsa-miR-29a-3p
hsa_circ_0067492	hsa-miR-29a-3p
hsa_circ_0094004	hsa-miR-29a-3p
hsa_circ_0001278	hsa-miR-30c-5p
hsa-miR-30c-5p	CTHRC1
hsa_circ_0007178	hsa-miR-30c-5p
hsa_circ_0035301	hsa-miR-30c-5p
hsa_circ_0004291	hsa-miR-30c-5p
